ttId;TTSn
1R;52050476
2R;52050446
3R;52050522
4R;52050495
5R;52050457
6R;52050462
7R;52050474
8R;52050473
9R;52050521
10R;52050460
11R;52050464
12R;52050445
1V1;52050502
2V1;52050497
3V1;52050498
4V1;52050483
5V1;52050509
6V1;52050500
7V1;52050506
8V1;52050485
9V1;52050507
10V1;52050490
11V1;52050493
12V1;52050489
13V1;52050481
14V1;52050510
15V1;52050469
16V1;52050459
17V1;52050492
18V1;52050488
19V1;52050480
20V1;52050511
1V2;52050467
2V2;52050472
3V2;52050468
4V2;52050524
5V2;52050454
6V2;52050463
7V2;52050508
8V2;52050470
9V2;52050451
10V2;52050448
11V2;52050452
12V2;52050453
13V2;52050517
14V2;52050465
15V2;52050512
16V2;52050494
17V2;52050466
18V2;52050450
19V2;52050471
20V2;52050499
1S1;52050478
2S1;52050447
3S1;52050456
4S1;52050482
5S1;52050486
6S1;52050461
7S1;52050520
8S1;52050518
9S1;52050516
10S1;52050455
11S1;52050449
12S1;52050458
13S1;52050477
14S1;52050479
15S1;52050519
16S1;52050487
17S1;52050514
18S1;52050513
19S1;52050515
20S1;52050475
1S2;52050532
2S2;52050525
3S2;52050504
4S2;52050531
5S2;52050496
6S2;52050505
7S2;52050535
8S2;52050529
9S2;52050501
10S2;52050527
11S2;52050491
12S2;52050533
13S2;52050528
14S2;52050484
15S2;52050538
16S2;52050530
17S2;52050537
18S2;52050523
19S2;52050536
20S2;52050534
G1V1;40200001
G2V1;40200002
G3V1;40200003
G4V1;40200004
G5V1;40200005
G6V1;40200006
G7V1;40200007
G8V1;40200008
G1V2;40200009
G2V2;40200010
G3V2;40200011
G4V2;40200012
G5V2;40200013
G6V2;40200014
G7V2;40200015
G8V2;40200016
G9V2;40200017
G10V2;40200018
G11V2;40200019
G12V2;40200020
TTRV1;55200015
